,Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
,NIFTY 50,"8,610.50","8,672.70","8,606.90","8,644.65",41.9,0.49,"2,811.32","11,441.76","8,968.70","6,825.80",16.25,9.31
,BHEL,132.75,142.2,132.75,139.2,7.3,5.53,161.41,223.13,162.9,90.15,-0.29,18.77
,BHARTIARTL,310.3,327.85,310.3,327.1,15.75,5.06,30.97,98.78,385,282.3,9.84,10.47
,ICICIBANK,263.05,274,260.7,271.25,11.3,4.35,808.79,"2,152.91",298.4,180.75,14.31,9.31
,BANKBARODA,163,169.2,162.3,168.2,6.25,3.86,122.84,204.53,179.6,109.35,29.38,14.15
,NTPC,171.5,178.25,171.4,177,5.65,3.3,50.04,87.8,178.25,116.9,23.13,10.66
,SBIN,260.3,268.2,259.5,266.35,7.15,2.76,177.91,471.11,288.8,148.25,44.44,9.07
,IDEA,76,78.25,75.65,78.2,2.05,2.69,78.85,60.82,128.35,65.8,-28.58,12.68
,EICHERMOT,"23,195.35","23,650.65","23,125.55","23,580.00",589.05,2.56,0.74,174.4,"26,641.30","15,844.10",45.27,16.31
,HDFC,"1,329.15","1,379.00","1,329.15","1,371.40",34,2.54,39.87,543.83,"1,464.00","1,011.45",17.22,12.46
,ACC,"1,420.00","1,440.00","1,413.00","1,428.00",28.6,2.04,6.13,87.66,"1,736.40","1,174.00",16.06,11.21
,MARUTI,"5,842.00","5,927.70","5,825.05","5,915.00",112.45,1.94,5.67,334.22,"5,974.00","3,193.25",43.85,14.47
,AXISBANK,465.25,478.85,465.25,471.55,8,1.73,87.54,415.16,638.3,373.3,13.52,9.16
,AMBUJACEM,229.7,233.5,229.6,232.75,3.6,1.57,21.45,49.8,281.7,185,21.29,17.34
,AUROPHARMA,709.8,717.55,706.75,715.85,10.2,1.45,9.85,70.2,895,582,-10.66,14.63
,TATAPOWER,80.2,81.5,80.1,81.2,1.1,1.37,26.17,21.2,84.4,55,32.46,10.48
,GAIL,480,493.8,480,481.5,5.6,1.18,55.91,271.18,493.8,290.3,34.38,12.37
,SUNPHARMA,638.3,643,633.8,642.65,6.8,1.07,23.37,149.27,898.45,571.9,-21.74,5.14
,RELIANCE,"1,020.25","1,028.90","1,019.00","1,027.00",9.7,0.95,48.94,501.27,"1,129.55",888.1,2.77,-1.95
,INFRATEL,352.25,356.7,352.25,354.8,3.05,0.87,5.56,19.73,413.7,301.5,-7.29,8.55
,POWERGRID,203.5,206.95,202.55,204.75,1.65,0.81,61.79,126.48,206.95,129.2,48.1,14.51
,M&M,"1,243.80","1,269.85","1,243.50","1,253.25",9.45,0.76,8.11,102.18,"1,508.95","1,091.25",6.51,9.1
,INFY,933.85,947.55,901.15,942.5,5.9,0.63,52.32,491.36,"1,279.30",901,-17.22,-4.1
,ZEEL,493,511,484.5,501,2.8,0.56,32.56,162.84,589.9,350.1,26.29,16.03
,TECHM,465.4,470.6,463.2,467.35,1.7,0.37,17.81,83.25,564,405.5,-7.1,0.81
,HDFCBANK,"1,299.00","1,300.00","1,288.00","1,294.85",4.25,0.33,16.92,218.98,"1,318.45",928,25.03,10.2
,HCLTECH,844,849.9,840.65,843.9,2.65,0.32,13.34,112.74,889.9,706.4,0.94,6.77
,GRASIM,928.6,939.7,925,930.95,2.85,0.31,6.75,62.93,"1,072.21",646.6,-72.81,14.25
,HINDALCO,190.5,195,188.05,191.2,0.45,0.24,194.66,372.71,195,58.8,169.11,26.2
,TATAMTRDVR,345.4,345.4,339.3,341.9,0.75,0.22,13.23,45.2,378.15,210.1,28.8,18.82
,COALINDIA,318,320.4,316,317.65,0.45,0.14,25.59,81.47,349.95,271.65,4.47,11.46
,ULTRACEMCO,"3,680.00","3,764.00","3,671.00","3,685.15",4.75,0.13,2.83,104.98,"4,129.70","2,680.00",33.93,19.31
,TCS,"2,345.05","2,378.75","2,345.05","2,354.35",1.35,0.06,14.32,338.65,"2,744.80","2,051.90",1.49,2.67
,TATASTEEL,469.85,473.8,463.35,469.8,0.3,0.06,49.31,231.49,476.75,211.15,82.38,23.6
,BAJAJ-AUTO,"2,840.00","2,885.20","2,830.00","2,851.05",1.4,0.05,1.91,54.42,"3,120.00","2,171.95",23.81,9.63
,ONGC,206,208,203.15,204.75,-0.15,-0.07,50.08,103.08,209.73,125.17,40.63,8.33
,DRREDDY,"2,970.00","3,011.55","2,960.00","2,994.00",-2.3,-0.08,1.89,56.51,"3,689.85","2,813.05",0.71,0.27
,ADANIPORTS,305,308.95,302.1,303,-1.65,-0.54,33.37,101.85,317,169.15,40.7,16.54
,LT,"1,451.05","1,470.25","1,433.35","1,441.00",-8.75,-0.6,12.2,177.63,"1,615.00","1,016.05",30.08,7.73
,YESBANK,"1,410.00","1,421.50","1,390.20","1,398.00",-8.8,-0.63,27.46,385.05,"1,449.00",651.15,106.18,26.92
,INDUSINDBK,"1,265.80","1,269.00","1,250.80","1,254.80",-10.6,-0.84,9.95,125.56,"1,269.00",799,38.16,18.32
,BPCL,713,726.8,691.3,705.25,-5.95,-0.84,19,135.46,726.8,365.58,62.01,17.1
,ASIANPAINT,979.8,989.6,964.1,969,-8.7,-0.89,10.34,100.87,"1,227.30",827.1,12.86,11.66
,HEROMOTOCO,"3,246.00","3,267.95","3,201.00","3,217.60",-29.85,-0.92,5.28,170.02,"3,740.00","2,431.10",29.61,6.98
,CIPLA,584.7,591.4,579.45,580.1,-5.55,-0.95,6.1,35.48,617.8,457.45,-0.07,4.53
,KOTAKBANK,798,802.1,780.45,784.95,-10.25,-1.29,36.76,290.2,833.45,585.75,16.36,10.39
,TATAMOTORS,549,552,539.75,541,-7.9,-1.44,43.2,235.43,598.4,265.8,60.51,18.16
,HINDUNILVR,869,875.7,853.8,856.7,-12.5,-1.44,12.55,108.06,954,766.4,11.56,6.85
,WIPRO,469.5,473.7,464.3,466.4,-7.3,-1.54,19.14,89.47,607,408.1,-15.59,2.26
,LUPIN,"1,518.00","1,518.70","1,488.15","1,495.80",-23.45,-1.54,7.21,108.01,"1,911.90","1,280.00",-11.45,6.62
,BOSCHLTD,"22,861.00","22,950.00","22,234.00","22,375.05",-502.9,-2.2,0.25,55.76,"25,670.85","15,736.05",29.46,15.82
,ITC,263.5,266.95,256.1,257.9,-7.6,-2.86,243.08,636.64,266.95,178.67,23.61,14.62
